r_arcsec,x_over_rc,kappa_glafic_raw,kappa_glafic_denoised,kappa_shape_dimless,kappa_glafic_norm,kappa_shape_norm
2.724295662728230538e-01,2.724295662728230538e-01,1.213820875539729804e-04,1.213820875539729804e-04,7.475921582514151176e-01,9.234282288715788267e-01,9.234282292534045089e-01
2.844375727204819793e-01,2.844375727204819793e-01,1.205449771279039968e-04,1.205449771279039968e-04,7.424363958138645581e-01,9.170598147695302460e-01,9.170598149708172331e-01
2.969748617303079041e-01,2.969748617303079041e-01,1.196445008770447775e-04,1.196445008770447775e-04,7.368903632035996853e-01,9.102093378480313746e-01,9.102093377204175662e-01
3.100647627393596784e-01,3.100647627393596784e-01,1.186769294839048013e-04,1.186769294839048013e-04,7.309310914816544713e-01,9.028484268942074120e-01,9.028484261951991163e-01
3.237316334872924473e-01,3.237316334872924473e-01,1.176384951540168969e-04,1.176384951540168969e-04,7.245353746833028685e-01,8.949484179771467485e-01,8.949484163131774528e-01
3.380009053413373654e-01,3.380009053413373654e-01,1.165254257311345090e-04,1.165254257311345090e-04,7.176799799064662588e-01,8.864806139831977738e-01,8.864806107192638729e-01
3.528991306190913391e-01,3.528991306190913391e-01,1.153339848265505930e-04,1.153339848265505930e-04,7.103418944257443579e-01,8.774165899043906425e-01,8.774165840213081768e-01
3.684540319971724709e-01,3.684540319971724709e-01,1.140605182627024228e-04,1.140605182627024228e-04,7.024986116724658558e-01,8.677285461635166897e-01,8.677285360335736941e-01
3.846945540976892119e-01,3.846945540976892119e-01,1.127015070043393133e-04,1.127015070043393133e-04,6.941284571353977251e-01,8.573897112940902510e-01,8.573896943303372931e-01
4.016509173485050543e-01,4.016509173485050543e-01,1.112536265835138206e-04,1.112536265835138206e-04,6.852109542018489652e-01,8.463747940228231181e-01,8.463747661339936501e-01
4.193546742175336406e-01,4.193546742175336406e-01,1.097138128146086540e-04,1.097138128146086540e-04,6.757272286561304409e-01,8.346604832042691102e-01,8.346604379528478335e-01
4.378387679256928733e-01,4.378387679256928733e-01,1.080793333415871820e-04,1.080793333415871820e-04,6.656604489747873776e-01,8.222259921247839776e-01,8.222259194351982936e-01
4.571375937477825113e-01,4.571375937477825113e-01,1.063478642633474021e-04,1.063478642633474021e-04,6.549962977146364107e-01,8.090536414387412556e-01,8.090535256293500677e-01
4.772870630153487337e-01,4.772870630153487337e-01,1.045175502788804617e-04,1.045175502788804617e-04,6.437234672106827427e-01,7.951293167297627251e-01,7.951292892712702454e-01
4.983246699406294611e-01,4.983246699406294611e-01,1.025871581993209245e-04,1.025871581993209245e-04,6.318341705419109333e-01,7.804436363713428415e-01,7.804435919311704106e-01
5.202895613859361834e-01,5.202895613859361834e-01,1.005560663593106424e-04,1.005560663593106424e-04,6.193246563686083395e-01,7.649918709725789245e-01,7.649917999422175541e-01
5.432226097082878402e-01,5.432226097082878402e-01,9.842440358071063078e-05,9.842440358071063078e-05,6.061957139110567550e-01,7.487750005606343962e-01,7.487748881518325739e-01
5.671664888148553185e-01,5.671664888148553185e-01,9.619311406577714710e-05,9.619311406577714710e-05,5.924531521723063188e-01,7.318002082630594707e-01,7.318000318591958431e-01
5.921657535707388620e-01,5.921657535707388620e-01,9.386402831242627752e-05,9.386402831242627752e-05,5.781082356797848654e-01,7.140814198038439864e-01,7.140811450446792330e-01
6.182669227068342543e-01,6.182669227068342543e-01,9.143992395377258478e-05,9.143992395377258478e-05,5.631780577220258932e-01,6.956397663472241311e-01,6.956393413930482827e-01
6.455185653820753044e-01,6.455185653820753044e-01,8.892457336812144568e-05,8.892457336812144568e-05,5.476858314833381591e-01,6.765039466961895176e-01,6.765032939039393733e-01
6.739713915611131867e-01,6.739713915611131867e-01,8.632277496883758797e-05,8.632277496883758797e-05,5.316610798143966976e-01,6.567104653337662024e-01,6.567094692971011671e-01
7.036783463756238755e-01,7.036783463756238755e-01,8.364036532063130898e-05,8.364036532063130898e-05,5.151397057717459482e-01,6.363037245990614821e-01,6.363022151430153261e-01
7.346947086448148978e-01,7.346947086448148978e-01,8.088420965542654430e-05,8.088420965542654430e-05,4.981639286109370568e-01,6.153359525356364435e-01,6.153336808014147064e-01
7.670781937384726357e-01,7.670781937384726357e-01,7.806216898017570344e-05,7.806216898017570344e-05,4.807820736478322088e-01,5.938669526604144489e-01,5.938635578572927232e-01
